Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
Mulligan Grazing Pty Ltd as trustee for Mulligan Family Carbon Trust,Climate Friendly Pty Ltd,n/a,Tebin Regeneration Project,ERF172908,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,26/09/2022,26/09/2022,25/09/2047,Queensland,4480,"34/SP242435 

The project is in the QUILPIE SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF172908.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF172908_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,12/7/24,11/7/49,1/4/23,CAC513007,9124,9124,0,0,0,0,0,0,0,0,0,0,0,0,9124,Mulligan Grazing Pty Ltd as trustee for Mulligan Family Carbon Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Munda Munda Pty Ltd as the trustee for Todd Family Trust,Climate Friendly Pty Ltd,n/a,Munda Munda Regeneration Project,ERF158437,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,31/08/2020,31/08/2020,30/08/2045,Queensland,4490,"3/CPNB44, 2/CPNB21, 2/CPNB44 

The project is in the PAROO SHIRE, BALONNE SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF158437.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF158437_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/ERF158437_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,16/07/2021,15/07/2046,1/10/20,CAC941575,59087,59087,0,0,0,0,0,0,0,0,0,15306,0,14719,29062,Munda Munda Pty Ltd as the trustee for Todd Family Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Murphy, Susan Maree and Murphy, Jeffrey John",CO2 AUSTRALIA Pty Ltd,n/a,Rocky Station Human-Induced Regeneration Project,ERF121619,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth","Mechanical or chemical destruction, or suppression, of regrowth",16/05/2018,16/05/2018,15/05/2043,Queensland,4468,"1/RS34

The project is in the Murweh Shire local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF121619.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF121619_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,13/10/2020,12/10/20,1/6/18,CAC893173,61527,61527,0,0,0,0,0,0,0,0,24223,12108,0,12489,12707,Jeffrey John Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Murray, Gary Norton and Murray, Elizabeth Lorna",Terra Carbon Pty Limited,n/a,Trilby Native Forest Protection Project,EOP100842,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00347,Vegetation,"This project protects the native forest from being deforested (cleared) and the land from being converted to an agricultural system, where a clearing permit was issued before 1 July 2010.",Avoids emissions by not clearing native forest,n/a,11/11/14,1/7/10,30/06/2025,New South Wales,2840,"6150/DP764563, 6153/DP764563, 6151/DP764563

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100842.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100842_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,19/12/2014,18/12/2114,1/4/15,CAC534415,736181,736181,0,0,162557,70691,56445,56462,56482,70728,61816,43350,71339,43329,42982,Gary Norton Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,18/05/2015 Variation of project method - from the Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative - Avoided Deforestation 1.1) Methodology Determination 2015.,No,Australia
Nannup Truffle Farm Pty Ltd as trustee for Nannup Truffle Farm Trust,n/a,n/a,The Nannup Truffle Farm - Carbon Sequestration Project,ERF176116,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,24/08/2022,24/08/2022,23/08/2047,Western Australia,6251,"12/P411030/2932/7 

The project is in the SHIRE OF DONNYBROOK-BALINGUP local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF176116.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
NATIVE CARBON 2 PTY LTD,n/a,n/a,Boorokup Restoration Project,ERF170644,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,3/3/22,3/3/22,2/3/47,Western Australia,6321,"3395/D79903/1733/524 

The project is in the SHIRE OF CRANBROOK local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF170644.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
NATIVE CARBON 3 PTY LTD,n/a,n/a,Tambellup Noongar Farm Carbon Restoration Project,ERF183807,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,25/07/2023,25/07/2023,24/07/2048,Western Australia,6320,"1156/P110252/1380/077, 2120/P110511/1380/077, 545/P256593/1380/077, 546/P256577/1380/077, 969/P103785/1380/077
 
The project is in the SHIRE OF BROOMEHILL-TAMBELLUP local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183807.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Native Carbon Pty Ltd,n/a,n/a,Restoring an Ancient Landscape - Through Community & Carbon,ERF164196,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,16/06/2021,16/06/2021,15/06/2046,Western Australia,"6338, 6328, 6336, 6321, 6320","6113/D2074574, 6229/D208017, 102/D58850, 7330/D81206, 8797/D161832, 4058/D123628, 100/D64891, 140/D124361, 3674/D80820, 1/P 24200, 6897/D169974, 2324/D137358, 3410/D125161, 1747/D123629, 3011/D224002, 633/D141713, 766/D145523, 767/D145526, 4/D41680, 1087/D81364, 4371/D203410, 6156/D208507 

The project is in the SHIRE OF GNOWANGERUP, CITY OF ALBANY, SHIRE OF CRANBROOK, SHIRE OF BROOMEHILL-TAMBELLUP local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF164196.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Native Conifer Carbon Sink Pty Ltd,n/a,n/a,Native Conifer Carbon Sink Project 01,EOP100550,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,13/12/2012,12/6/14,11/6/39,Queensland,4888,"7/RP740101

The project is in the Tablelands local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100550.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100550_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,23/03/2020,22/03/2120,n/a,n/a,162,162,0,0,0,0,0,0,0,162,0,0,0,0,0,Native Conifer Carbon Sink Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,10/03/2015 Variation to participant name - from Select Carbon Pty Ltd to Native Conifer Carbon Sink Pty Ltd,No,Australia
NATURAL CAPITAL PARTNERS PTY LTD,n/a,n/a,Salisbury Downs Human-Induced Regeneration Project,ERF179766,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,"This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.
","Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,11/8/23,11/8/23,10/8/48,New South Wales,2880,"3542/DP765894
 
The project is in the UNINCORPORATED FAR WEST local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF179766.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
NATUREBASE PTY LTD,n/a,n/a,Mountain Coolibah,ERF197383,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,"This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.
",Permanent mixed-species environmental planting,n/a,18/08/2024,30/09/2024,29/09/2049,Queensland,4363,"1/RP169778, 1/RP169779, 2/RP169779
 
The project is in the Toowoomba, TOOWOOMBA local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF197383.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
NBS AGRICULTURE PTY LTD,n/a,n/a,Forbes Aggregation - Planting Phase 1,ERF201747,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024,https://www.legislation.gov.au/Details/F2024L01473,Vegetation,This project establishes permanent plantings of a mix of native tree and shrub species that are local to the area of the planting. The species mix reflects the structure and composition of the local native vegetation community.,Establishing and maintaining a permanent mixed-species environmental planting,n/a,27/03/2025,28/03/2025,27/03/2050,New South Wales,2871,"1/DP185123, 2/DP531879, 49/DP753129, 53/DP753089, 56/DP753089, 69/DP753129
 
The project is in the Forbes local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF201747.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
NESLECOVE PTY LTD as the Trustee for CELI MANUFACTURING SUPER BENEFITS FUND,Carbon Farmers of Australia No. 1 Limited,n/a,Bundure Station Forest Regeneration Project (Revoked),ERF159588,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management, in a humane manner, of feral animals",Feral Animals,1/9/20,1/9/20,31/08/2045,New South Wales,2877,"4698/DP767862, 4687/DP767851 

The project is in the COBAR SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF159588.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,1/10/20,CAC645859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,16/07/2024 This project has been revoked under section 30 of the CFI Rule,Yes,Australia
Newmont Goldcorp Australia Pty Ltd,CO2 AUSTRALIA Pty Ltd,n/a,Newmont Australia Reforestation Project,EOP100200,Carbon Credits (Carbon Farming Initiative) (Reforestation and Afforestation) Methodology Determination 2013,https://www.legislation.gov.au/Details/F2013L00123,Vegetation,This project established permanent plantings of Eucalyptus polybractea trees on land that was previously used for agricultural purposes.,Reforestation and Afforestation,n/a,3/5/13,13/12/2014,12/12/39,"New South Wales, Western Australia",2875,"One of the parcels of land on which The project occurs is located at  9/DP754012.

Partial Suppression of project details approved under section 169 of the Carbon Credits (Carbon Farming Initiative) Act 2011. 

The project is in the Parkes local government area.",n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,3/6/13,2/6/13,n/a,n/a,52261,52261,11962,6178,0,0,0,21708,0,0,0,0,0,12413,0,Newmont Australia Pty Ltd (Account suspended on 24 July 2020); Newmont  Australia Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,22/01/2020 Variation to participant name - from Newmont Australia Pty Ltd to Newmont Goldcorp Australia Pty Ltd,No,Australia
NEWMONT GOLDCORP BODDINGTON PTY LTD,CO2 AUSTRALIA Pty Ltd,n/a,Saddleback Plantation Forestry Project (Revoked),ERF120891,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2017,https://www.legislation.gov.au/Details/F2017L01038,Vegetation,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,18/05/2018,18/05/2018,17/05/2043,Western Australia,6390,"500/D59054, 421/D50652

The project is in the Shire of Boddington local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF120891.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"30/06/2022 This project was contracted in Jun-18 and CAC436762 has now been completed.

11/11/2022 This project has been revoked under section 30 of the CFI Rule.",Yes,Australia
"Newton, Robert Lindsay, and Newton, Marie Therese",Select Carbon Pty Ltd,n/a,Oakleigh Native Forest Protection Project,EOP100633,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00347,Vegetation,"This project protects the native forest from being deforested (cleared) and the land from being converted to an agricultural system, where a clearing permit was issued before 1 July 2010.",Avoids emissions by not clearing native forest,n/a,28/05/2014,1/7/10,30/06/2025,New South Wales,2839,"4343/DP768387, 5425/DP768336, 5430/DP768341, 5863/DP768341, 669/DP761711, 5477/DP768387, 2260/DP764026

The project is in the Brewarrina local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100633.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100633_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,28/01/2015,27/01/2115,n/a,n/a,125004,125004,0,0,28582,6567,6587,0,0,28572,8492,11985,11705,11716,10798,Ralvimay Enterprises Pty Ltd; Robert Lindsay Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"07/12/2015 Variation to participant name - from Ralvimay Enterprises Pty Ltd to Newton, Robert Lindsay, and Newton, Marie Therese.

30/01/2017 Variation of method - from the Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative - Avoided Deforestation 1.1) Methodology Determination 2015

14/11/2017 This project was contracted in Apr-15 and CAC182772 has now been completed.

19/03/2020 This project was contracted in Dec-17 and CAC401187 has now been completed.",No,Australia
"Nicholson, Ian Arnold",CO2 AUSTRALIA Pty Ltd,n/a,CO2 Australia - Human-Induced Regeneration Project - Stage 1 (Revoked),ERF111251,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,Exclusion of livestock,Livestock,17/03/2017,1/2/18,31/01/2043,Queensland,4487,"1/CPMAR15

The project is in the Balonne Shire local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF111251.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"21/05/2018 Variation to participant name - from CO2 Australia Limited to Ian Arnold Nicholson.

21/05/2018 Variation to the project area - areas listed in the project have been amended.

04/11/2020 This project was contracted in Apr-17 and CAC484370 has now been terminated or lapsed.

16/04/2021 - This project has been revoked under section 30 of the CFI Rule.",Yes,Australia
"Nicholson, Michael John",Terra Carbon Pty Limited,n/a,Glenwood Native Forest Protection Project,EOP100542,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00347,Vegetation,"This project protects the native forest from being deforested (cleared) and the land from being converted to an agricultural system, where a clearing permit was issued before 1 July 2010.",Avoids emissions by not clearing native forest,n/a,14/07/2014,1/7/10,30/06/2025,New South Wales,2877,"422/DP761248, 3681/DP766063

The project is in the Cobar local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100542.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100542_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,27/10/2014,26/10/2114,1/4/15,CAC459402,629876,629876,0,0,133840,38939,47270,47283,47299,83156,51753,48020,36295,48006,48015,Michael John Nicholson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,18/05/2015 Variation of project method - from the Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative - Avoided Deforestation 1.1) Methodology Determination 2015.,No,Australia
"Nielsen, Richard and Nielsen, Deborah",Climate Friendly Pty Ltd,n/a,Turra Forest Regeneration Project,ERF103081,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,23/03/2016,23/03/2016,22/03/2041,New South Wales,2840,"3756/DP766169

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103081.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF103081_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/ERF103081_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,15/01/2021,14/01/2046,1/10/20,CAC154354,118236,118236,0,0,0,0,0,0,0,0,64859,15007,7799,19191,11380,Richard Andrew Nielsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,21/05/2020 Variation to participant name - from Howard Williams and Margaret Williams to Richard Nielsen and Deborah Nielsen.,No,Australia
"Nielsen, Richard Andrew",Climate Friendly Pty Ltd,n/a,Bally Castle Regeneration Project,ERF101230,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,1/7/15,1/1/11,31/12/2035,New South Wales,2840,"4776/DP767989, 3893/DP766366

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101230.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF101230_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/ERF101230_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,22/01/2016,21/01/2116,1/11/15,CAC102065,318290,316856,0,0,0,33130,28872,20828,26156,43433,17536,52700,33557,31939,28705,Richard Andrew Nielsen,0,1434,0,0,0,1434,0,0,0,0,0,0,0,0,0,Richard Andrew Nielsen,0,18/08/2015 Variation to the project area - areas listed in the project have been amended,No,Australia
Ninal Ventures Pty Ltd and Lanin Holdings Pty Ltd.,Climate Friendly Pty Ltd,n/a,Nulla Carbon,ERF101849,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,15/09/2015,1/1/12,31/12/2036,Queensland,4490,"1/CPBAN40, 1/CPSP233454, 15/CPBAN62, 16/CPBAN808984, 17/CPBAN808984, 2/RP204864, 3/CPBAN40, 4/CPBAN40, 55/CPWELL5329

The project is in the PAROO SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101849.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF101849_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/ERF101849_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,8/5/17,7/5/42,1/11/15,CAC102362,597708,594842,0,0,0,0,91332,68075,68962,67005,77238,63790,21720,69567,67153,Geoff Dunsdon Pty Ltd as the Trustee for IG Dunsdon Family Trust; Ninal Ventures Pty Ltd,434,2866,0,0,0,0,2866,0,0,0,0,0,0,0,0,Geoff Dunsdon Pty Ltd as the Trustee for IG Dunsdon Family Trust,0,"22/12/2015 Variation to the project area - areas have been added to the project

18/01/2018 Variation to the project area - areas listed in the project have been removed.

06/06/2018 Relinquishment of Kyoto Australian carbon credit units - the Clean Energy Regulator issued a notice under section 88 of the CFI Act requiring Geoff Dunsdon Pty Ltd as the Trustee for IG Dunsdon Family Trust to relinquish 434 Australian carbon credit units in relation to the Nulla Carbon Project

10/02/2020 Variation to participant name - from Don Dunsdon Pty Ltd as the Trustee for DS Dunsdon Family Trust and Greg Dunsdon Pty Ltd as the Trustee for WGC Dunsdon Family Trust and Geoff Dunsdon Pty Ltd as the Trustee for IG Dunsdon Family Trust  to Corporate Carbon Solutions Pty Ltd, Ninal Ventures Pty Ltd and Lanin Holdings Pty Ltd 

21/02/2019 Variation to the project area - areas listed in the project have been removed. 

20/05/2020 Variation to participant name - Corporate Carbon Solutions Pty Ltd, Ninal Ventures Pty Ltd and Lanin Holdings Pty Ltd to Ninal Ventures Pty Ltd and Lanin Holdings Pty Ltd.",No,Australia
