Project_Name,Id,Developer,proponent_country_manual,Registry,Methodology,Sector,Country,Project.Status,Crediting.Period.Start,Crediting.Period.End,Annual.Est..Units,Total.Issued.Units,Total.Retired.Units,Total.Available.Units
Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative Kirimara-Kithithina Small Scale A/R Project,P304X22CZY9Y99NTCW97VXFTC23OSE,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group4 - Withdrawn,OKI1F8ASTZY0BQ9K2DP717L6AR8Y6D,NA,,CDM Registry,CDM - AR-AMS0003,NA,Mozambique,Withdrawn,2019-12-24T00:00:00.000Z,2026-12-23T00:00:00.000Z,0,0,0,0
Reforestation Project in community councils of afro descendant lands in northern Atrato River in Chocó department in Colombia,78OEZTQ9HM9D20ZN01QV71MTP8JIIS,EnerCap Capital partners,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Colombia,Withdrawn,2007-11-01T00:00:00.000Z,2037-10-31T12:00:00.000Z,0,0,0,0
"Reforestation of degraded land in Chhattisgarh, India",ANCF0RWNTDBNBTQGDYALKT3LMZBFPW,Vanshi Farms,,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,India,Withdrawn,2002-06-15T00:00:00.000Z,2022-06-15T00:00:00.000Z,0,0,0,0
PoA for reforestation of land for multiple uses,BMV0NHUB9J54TR5K92XDWNIJCHXHI5,n.a.,,CDM Registry,CDM - AR-ACM0003,NA,Brazil,Validated,2019-12-05T00:00:00.000Z,2026-12-04T00:00:00.000Z,0,0,0,0
"Reforestation on degraded, fragile soils and soils in danger of desertification in Coyhaique commune",YET4QYCSFQXVLMXY7UY19EW4JO8X74,Forestry Research Institute Chile,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,Chile,Withdrawn,2008-08-01T00:00:00.000Z,2038-08-01T12:00:00.000Z,0,0,0,0
Bagepalli CDM Reforestation Programme,A85TC6Z9VFEM220O5DV0BH0D4FR23N,Climate Change Capital,,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,India,Validated,2008-01-01T00:00:00.000Z,2028-01-01T00:00:00.000Z,0,0,0,0
Reforestation of degraded land by MTPL in India,QT1C6ZQJ4RJK28UFAI503NEOA8A2UY,Birla,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,India,Registered,2001-06-25T00:00:00.000Z,2031-06-24T00:00:00.000Z,1764076,1764076,1728794,35282
Reforestation as Renewable Source of Wood Supplies for Industrial Use in Brazil,DWXTGTQLAORUROS9KPVZJUSGI8UK70,WB-CF,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,Brazil,Registered,2000-11-10T00:00:00.000Z,2030-11-09T00:00:00.000Z,5696351,5696351,1776251,3920100
Reforestation on Degraded Lands in Northwest Guangxi,YEKJK8B2JTYOB4MYRIPZ6LL9V40C18,WB-CF,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,China,Registered,2008-01-01T00:00:00.000Z,2027-12-31T00:00:00.000Z,464408,464408,20594,443814
Bagepalli CDM Reforestation Programme,EHSY4L5VTQT20H3DTS706XS7Y4HKGE,n.a.,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,India,Registered,2008-01-25T00:00:00.000Z,2028-01-24T00:00:00.000Z,0,0,0,0
Bagepalli CDM Reforestation Programme,QV6NUE84TBZ0ZFBM2JNLZNPQ7LJ3X4,Madurai Municipal Waste Processing Company,,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,India,Withdrawn,2006-07-01T00:00:00.000Z,2026-07-01T00:00:00.000Z,0,0,0,0
"Argos CO2 Offset Project, through reforestation activities for commercial use",SQH7I46RTGQAIYGWFN4XAJ3PQ667P8,Cementos Argos,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,Colombia,Registered,2005-02-01T00:00:00.000Z,2030-01-31T00:00:00.000Z,0,0,0,0
Reforestation as Renewable Source of Wood Supplies for Industrial Use in Brazil,FGZRODLCVW8L8SADKS4WIRHPGKS2PO,n.a.,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,Brazil,Validated,2000-11-10T00:00:00.000Z,2030-11-10T12:00:00.000Z,0,0,0,0
Cao Phong Reforestation Project,FC8QMLRCUU8HG8SKUA0MAQP74MDVYT,JICA,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Viet Nam,Registered,2009-05-01T00:00:00.000Z,2025-04-30T00:00:00.000Z,0,0,0,0
"Reforestation  of  Grazing  Lands  Hacienda  El  Manantial  in  Puerto  Lopez, Colombia",FYPIZCQJOZJNRXJA7SX0PSYRLGO94G,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Colombia,Registered,2014-06-16T00:00:00.000Z,2044-06-15T00:00:00.000Z,61807,61807,0,61807
Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Kirimara-Kiriti Small Scale A/R Project,EI3HSLH9DGXTGU714QJZ2195W5J2SH,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
Reforestation of Abandoned Dairy Cattle Grazing Grasslands in Korea,7ZS64IX7RPE80JKMSG78UWDLVVJVG6,n.a.,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Republic of Korea,Registered,2013-03-01T00:00:00.000Z,2033-02-28T00:00:00.000Z,0,0,0,0
REFORESTATION OF DEGRADED/DEGRADING LAND IN THE CARIBBEAN SAVANNAH OF COLOMBIA,NCIY1QEW6TLRFYDGBIK0YWZ4U3VPUN,WB-CF,,CDM Registry,CDM - AR-AM0009,Afforestation and reforestation,Colombia,Registered,2008-06-18T00:00:00.000Z,2028-06-17T00:00:00.000Z,0,0,0,0
Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Karuri Small Scale A/R Project,N5AO1NW28HKEOFTMY3COMTJDDC7FP8,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
Uganda Nile Basin Reforestation Project No 4,A7GM01SAIP8LCBINBODJ5K7X8XV5W2,"WB-CF, UNIQUE forestry consultants",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Uganda,Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,3276,3276,358,2918
GHG Programme-Afforestation and Reforestation Group1 - Withdrawn,EZOCHZZF0I2SUU8DI099OWBGE4CSPR,Kanaka Management Services,,CDM Registry,CDM - AR-AM0014,NA,Mozambique,Withdrawn,2019-11-30T00:00:00.000Z,2026-11-29T00:00:00.000Z,0,0,0,0
Community-based Reforestation on Degraded Lands in East Lombok,VTSBU6NLI63QVVLY3RJZQH2IZ3GZOJ,Korea International Cooperation Agency,,CDM Registry,CDM - AR-AMS0004,Afforestation and reforestation,Indonesia,Withdrawn,2010-12-01T00:00:00.000Z,2030-12-01T00:00:00.000Z,0,0,0,0
Uganda Nile Basin Reforestation Project No.3,FQGS8PBL08KI02MK9PEC5TY2K3G1MS,"WB-CF, Joanneum Research",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Uganda,Registered,2007-04-01T00:00:00.000Z,2027-03-31T00:00:00.000Z,17386,17386,1901,15485
Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Kabaru-Thigu-Mugunda Small Scale A/R Project,KCYENSZAUVOA0833HAKWMPY09VM2S8,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
Uganda Nile Basin Reforestation Project No 1,8ORR5UWVWRQND30WV8VVWBTPPPNEPQ,"WB-CF, UNIQUE forestry consultants",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Uganda,Registered,2009-04-01T00:00:00.000Z,2029-03-31T00:00:00.000Z,1221,1221,134,1087
"Reforestation Project at Shree Nasik Panchavati Panjrapole (SNPP), Nasik, India",4BKDL3MXQJGEHOFG4IYYCEWBQ4OKP0,SEE Tech Solutions,,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,India,Withdrawn,2007-01-01T00:00:00.000Z,2036-12-31T12:00:00.000Z,0,0,0,0
Facilitating Reforestation for Guangxi Watershed Management in Pearl River Basin,KNGJ1V3IYZYVJKLSQLNHTZ02F9QCM4,"WB-CF, Joanneum Research",,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,China,Registered,2006-04-01T00:00:00.000Z,2036-03-31T00:00:00.000Z,450527,450527,48276,402251
"Afforestation and Reforestation on Degraded Lands in Northwest Sichuan, China",1BRLOQ1EAXAY6BE0LOTZOIPBKJ5RA3,"Conservation International, The Nature Conservancy",,CDM Registry,CDM - AR-AM0003,Afforestation and reforestation,China,Registered,2007-01-04T00:00:00.000Z,2027-01-03T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group2,5KETTQG0QD22UWHZA4465KXKLE6KU9,NA,,CDM Registry,CDM - AR-ACM0003,NA,Mozambique,Validated,2020-02-19T00:00:00.000Z,2027-02-18T00:00:00.000Z,0,0,0,0
Small-scale Reforestation for Landscape Restoration.,SGHEJBI0Y6FB6YO5DU8V1LA4LEZZAL,Beijing Arreon Corporation,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,China,Validated,2007-06-01T00:00:00.000Z,2037-05-31T12:00:00.000Z,0,0,0,0
Ankeniheny-Zahamena-Mantadia Biodiversity Conservation Corridor and Restoration Project (Reforestation Component),7COYHD5A226DPJ9MMFBP9CGGTSAWSA,WB-CF,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Madagascar,Withdrawn,2007-12-03T00:00:00.000Z,2027-12-03T00:00:00.000Z,0,0,0,0
CARBON SEQUESTRATION THROUGH REFORESTATION IN THE BOLIVIAN TROPICS BY SMALLHOLDERS OF FSCIPAY (La Federación Sindical de Comunidades Interculturales Productores Agropecuarios de Yapacaní),06BPZD10ANRN889HD6IGZY9MMSDCRX,n.a.,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Bolivia,Withdrawn,2007-11-20T00:00:00.000Z,2028-11-19T06:00:00.000Z,0,0,0,0
India Sundarbans Mangrove Restoration,1M4DGESWLXKKD8XTB2MMXGA2DJHLL4,Scan Steels,,CDM Registry,CDM - AR-AM0014,Afforestation and reforestation,India,Withdrawn,2010-09-28T00:00:00.000Z,2030-09-28T00:00:00.000Z,0,0,0,0
Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia,LLESLB1FBIG2VW017AWSEKMTXVML5Q,ECOEYE,,CDM Registry,CDM - AR-AM0014,Afforestation and reforestation,Myanmar,Registered,2020-01-28T00:00:00.000Z,2027-01-27T00:00:00.000Z,0,0,0,0
India Sunderbans Mangrove Restoration: Bidya/Raimangal zone,OHBNWZ0ZO8WGG9LNQM6R28S8OQSPIO,First Climate,,CDM Registry,CDM - AR-AMS0003,Afforestation and reforestation,India,Validated,2010-09-02T00:00:00.000Z,2030-09-02T00:00:00.000Z,0,0,0,0
Oceanium mangrove restoration project,RBOVN64H2NX9E4NB9MSDZ9369YYKLZ,Oceanium,,CDM Registry,CDM - AR-AMS0003,Afforestation and reforestation,Senegal,Registered,2008-06-27T00:00:00.000Z,2038-06-26T00:00:00.000Z,0,0,0,0
Mangrove Restoration Program in Senegal,8P1RVLX86UGU26JK8ZZC0WXQ20RKU7,n.a.,,CDM Registry,CDM - AR-AM0014; AR-AMS0003,NA,Senegal,Withdrawn,2010-06-21T00:00:00.000Z,2017-06-20T00:00:00.000Z,0,0,0,0
"The International Small Group and Tree Planting Program (TIST), Tamil Nadu, India",JJI2CSEBU43B3VAFR0OTUIFGPL15IK,Clean Air Action Corporation,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,India,Registered,2004-01-01T00:00:00.000Z,2033-12-31T00:00:00.000Z,0,0,0,0
Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”,8,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,1156938,972105,184833
Reforestation of Degraded Forest Reserve Land in Ghana,66,Mere Plantations Limited,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Ghana,Approved,,,0,361327,0,361327
Proyecto de Mitigación Forestal Bonanza Verde,12,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,12759,10845,1914
Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá,11,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,37305,31709,5596
Carbono Hass,181,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,21026,110,20916
CARBONO GRESCO2,17,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,464752,281592,183160
Carbono Bagatela,23,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,86699,48627,38072
Vilhena REDD+ Project,138,Indigenous Carbon LLC,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Brazil,Approved,,,0,0,0,0
Rio Crepori REDD+ Project,129,Indigenous Carbon LLC,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Brazil,Registered,,,0,0,0,0
Alta Tapajos REDD+ Project,132,Indigenous Carbon LLC,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Brazil,Registered,,,0,0,0,0
Rio Maicimirim REDD+ Project,144,PARATINTIN OPIPAM DO AMAZONAS,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Brazil,Approved,,,0,2829681,0,2829681
Carbono Rancho Victoria,180,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,217707,0,217707
LIGNUS - BONOS DE CARBONO,232,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Metodología para Implementar Proyectos de Remoción de GEI Mediante Reforestación, Restauración Forestal y Establecimiento de Cultivos Leñosos",Agriculture; forestry and fishing,Colombia,Registered,,,0,0,0,0
ILHA DO BANANAL +,123,BIOFIX CONSULTORIA LTDA,,Cercarbono,M/LU/F-W01: Modular Methodology for Climate Change Mitigation Activities on Forest Lands and Wetlands,Agriculture; forestry and fishing,Brazil,Approved,,,0,3800754,226,3800528
Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.,32,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,188603,160313,28290
Bonos de Carbono Caracoli,10,Forestry Consulting Group S.A.S.,,Cercarbono,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Agriculture; forestry and fishing,Colombia,Approved,,,0,202005,126861,75144
"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",25,AGI Ambiental,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,27028,18382,8646
Carbono Agroforestal La Argentina,31,Forestry Consulting Group S.A.S.,,Cercarbono,"NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations",Agriculture; forestry and fishing,Colombia,Approved,,,0,50140,42619,7521
"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia.",27,AGI Ambiental,,Cercarbono,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Agriculture; forestry and fishing,Colombia,Registered,,,0,18396,15637,2759
Carbono Flor y Nuevo,3,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,30962,26318,4644
Carbono Verde,79,Tekia S.A.S,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,141329,33841,107488
Carbono Agroporvanda,1,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,81169,68994,12175
Bonos Verdes Colombia Grupo Custodiar S.A.,15,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,865055,732466,132589
Proyecto Carbono CAS,73,Compañia Agricola de la Sierra Sucursal Colombia,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,1428514,32212,1396302
CARBONO NEGOCIOS AGROFORESTALES,21,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,104112,38382,65730
Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia,13,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,92661,78762,13899
Carbono La Puya y San Lorenzo,5,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,60535,43883,16652
CARBONO RINCCO,59,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,307899,37379,270520
MultiAntioquia,26,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,136268,115827,20441
Carbono Agrorios,2,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,11195,9516,1679
SKCARBONO,46,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,6808908,4157344,2651564
Carbono Ganados y Bosques,30,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,225734,147664,78070
Carbono Reforesta,24,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,13628,11584,2044
Carbono Inmunizar,42,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,27491,23366,4125
Carbono Paja Perdida,4,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,97199,82618,14581
Carbono Nueva Esperanza,43,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,52601,44712,7889
Carbono Reforestadora El Guásimo,49,Reforestadora el Gúasimo SAS,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,438683,287008,151675
CARBONO SANTA INES,97,AGROINDUSTRIAS SANTA INES S.A.S. - AGROSI S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,59872,0,59872
Programa de Compensación de Emisiones  Cipreses de Colombia S.A.,75,Cipreses de Colombia S.A,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,458425,532263,-73838
Reforestación Comercial en Meta,7,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,482250,409914,72336
Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,14,South Pole Carbon Asset Management,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,453585,364435,89150
CARBONO OXIGENO PARA TODOS,19,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,196925,167385,29540
Carvida Duratex,68,Duratex S.A.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,702900,322308,380592
PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,29,Forestry Consulting Group S.A.S.,,Cercarbono,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Agriculture; forestry and fishing,Colombia,Approved,,,0,1516631,1037105,479526
GS5047 VPA63 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VIII,GS10994,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA76 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project IV,GS11012,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA50 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project I,GS10826,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA57 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project V,GS10985,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
GS5047 VPA84 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XII,GS11020,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA56 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project IV,GS10984,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
ACP Sustainable Forest Cover Establishment Project,GS3421,Autoridad del Canal de Panama (ACP),,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Panama,Registered,,,0,0,0,0
GS5047 VPA62 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VII,GS10993,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA61 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VI,GS10992,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
Protecting Forest  by Distribution of Improved CookStove Project by C2Z Solutions,GS12232,CO2 to Net Zero Solutions (India) Pvt Ltd,,Gold Standard,CDM - AMS-II.G.,Energy Demand,India,Listed,,,0,0,0,0
GS5047 VPA92 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIX,GS11027,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA48 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project II,GS10741,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
